"","V1","V2"
"1","1.0.A","9.4357847045"
"2","1.1.A","8.4519789966"
"3","1.2.A","5.6046877177"
"4","1.3.A","7.9708229847"
"5","1.4.A","5.4195628003"
"6","1.5.A","2.7012514259"
"7","1.6.A","6.5983658074"
"8","1.7.A","6.6860704198"
"9","1.8.A","0"
"10","1.9.A","0"
"11","1.10.A","5.5030799312"
"12","1.11.A","5.8628532419"
"13","1.12.A","2.2996375527"
"14","1.13.A","0.985952933900002"
"15","1.14.A","0"
"16","1.15.A","3.2355655122"
"17","1.16.A","0"
"18","1.17.A","3.2337635506"
"19","1.18.A","0"
"20","1.19.A","0"
"21","1.20.A","0"
"22","1.21.A","0"
"23","1.22.A","0"
"24","1.23.A","0"
"25","1.24.A","0"
"26","1.25.A","0"
"27","1.26.A","0"
"28","1.27.A","0"
"29","1.28.A","0"
"30","1.29.A","0"
